image_filename,opencv_haar,insightface,mtcnn,yolo_face,face_detection,face_detection_tflite
haan_ghil_muulnaat_1780561565539.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561566319.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561566929.png,0,0,1,0,0,0
haan_ghil_muulnaat_1780561567706.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561568306.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561569108.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561569860.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561570570.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561571157.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561571963.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561572781.png,1,0,1,1,0,0
haan_ghil_muulnaat_1780561573399.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561574124.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561574882.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561575665.png,0,0,0,0,0,0
haan_ghil_muulnaat_1780561576274.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561577084.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561577827.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561578450.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561579241.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561580049.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561580660.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561581401.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561582013.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561582862.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561583633.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561584233.png,0,1,1,0,1,1
haan_ghil_muulnaat_1780561584853.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561585604.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561586391.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561587150.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561587770.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561588327.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561589001.png,1,1,1,0,1,1
haan_ghil_muulnaat_1780561590195.png,0,0,0,1,0,1
haan_ghil_muulnaat_1780561590938.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561591710.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561592301.png,1,1,1,1,1,0
haan_ghil_muulnaat_1780561593133.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561593880.png,0,0,1,0,0,1
haan_ghil_muulnaat_1780561594668.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561595253.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561595846.png,0,0,1,1,0,1
haan_ghil_muulnaat_1780561596616.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561597438.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561598219.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561598928.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561599701.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561600261.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561600876.png,1,1,1,1,1,0
haan_ghil_muulnaat_1780561601468.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561602238.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561602846.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561603463.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561604077.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561604842.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561606242.png,0,1,1,0,0,0
haan_ghil_muulnaat_1780561606840.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561607476.png,0,0,0,0,0,0
haan_ghil_muulnaat_1780561608290.png,0,1,1,0,0,1
haan_ghil_muulnaat_1780561609051.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561609856.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561610634.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561611272.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561611861.png,1,1,1,1,1,0
haan_ghil_muulnaat_1780561612440.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561613005.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561613628.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561614330.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561614908.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561615459.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561616260.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561617059.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561617815.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561618394.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561619006.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561619782.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561620574.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561621213.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561622014.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561622791.png,0,0,1,0,0,1
haan_ghil_muulnaat_1780561623540.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561624277.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561625011.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561625570.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561626276.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561627010.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561627785.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561628358.png,0,1,1,1,1,0
haan_ghil_muulnaat_1780561628956.png,1,1,1,1,1,1
